Collection,Name,Checkpoint
CenterPoint,centerpoint_voxel0075_second_secfpn_head-dcn-circlenms_8xb4-cyclic-20e_nus-3d,./configs/centerpoint/./configs/centerpoint/centerpoint_0075voxel_second_secfpn_dcn_circlenms_4x8_cyclic_20e_nus_20220810_025930-657f67e0.pth
CenterPoint,centerpoint_pillar02_second_secfpn_head-circlenms_8xb4-cyclic-20e_nus-3d,./configs/centerpoint/./configs/centerpoint/centerpoint_02pillar_second_secfpn_circlenms_4x8_cyclic_20e_nus_20220811_031844-191a3822.pth
CenterPoint,centerpoint_pillar02_second_secfpn_head-dcn_8xb4-cyclic-20e_nus-3d,./configs/centerpoint/./configs/centerpoint/centerpoint_02pillar_second_secfpn_dcn_4x8_cyclic_20e_nus_20220811_045458-808e69ad.pth
SECOND,second_hv_secfpn_8xb6-80e_kitti-3d-car,./configs/second/./configs/second/second_hv_secfpn_8xb6-80e_kitti-3d-car-75d9305e.pth
SECOND,second_hv_secfpn_8xb6-80e_kitti-3d-3class,./configs/second/./configs/second/second_hv_secfpn_8xb6-80e_kitti-3d-3class-b086d0a3.pth
SECOND,second_hv_secfpn_8xb6-amp-80e_kitti-3d-car,./configs/second/./configs/second/hv_second_secfpn_fp16_6x8_80e_kitti-3d-car_20200924_211301-1f5ad833.pth
SECOND,second_hv_secfpn_8xb6-amp-80e_kitti-3d-3class,./configs/second/./configs/second/hv_second_secfpn_fp16_6x8_80e_kitti-3d-3class_20200925_110059-05f67bdf.pth
SMOKE,smoke_dla34_dlaneck_gn-all_4xb8-6x_kitti-mono3d,./configs/smoke/./configs/smoke/smoke_dla34_pytorch_dlaneck_gn-all_8x4_6x_kitti-mono3d_20210929_015553-d46d9bb0.pth
PGD,pgd_r101-caffe_fpn_head-gn_4xb3-4x_kitti-mono3d,./configs/pgd/./configs/pgd/pgd_r101_caffe_fpn_gn-head_3x4_4x_kitti-mono3d_20211022_102608-8a97533b.pth
PGD,pgd_r101-caffe_fpn_head-gn_16xb2-1x_nus-mono3d,./configs/pgd/./configs/pgd/pgd_r101_caffe_fpn_gn-head_2x16_1x_nus-mono3d_20211116_195350-f4b5eec2.pth
PGD,pgd_r101-caffe_fpn_head-gn_16xb2-1x_nus-mono3d_finetune,./configs/pgd/./configs/pgd/pgd_r101_caffe_fpn_gn-head_2x16_1x_nus-mono3d_finetune_20211118_093245-fd419681.pth
PGD,pgd_r101-caffe_fpn_head-gn_16xb2-2x_nus-mono3d,./configs/pgd/./configs/pgd/pgd_r101_caffe_fpn_gn-head_2x16_2x_nus-mono3d_20211112_125314-cb677266.pth
PGD,pgd_r101-caffe_fpn_head-gn_16xb2-2x_nus-mono3d_finetune,./configs/pgd/./configs/pgd/pgd_r101_caffe_fpn_gn-head_2x16_2x_nus-mono3d_finetune_20211114_162135-5ec7c1cd.pth
FCAF3D,fcaf3d_2xb8_scannet-3d-18class,./configs/fcaf3d/./configs/fcaf3d/fcaf3d_8x2_scannet-3d-18class_20220805_084956.pth
FCAF3D,fcaf3d_2xb8_sunrgbd-3d-10class,./configs/fcaf3d/./configs/fcaf3d/fcaf3d_8x2_sunrgbd-3d-10class_20220805_165017.pth
FCAF3D,fcaf3d_2xb8_s3dis-3d-5class,./configs/fcaf3d/./configs/fcaf3d/fcaf3d_8x2_s3dis-3d-5class_20220805_121957.pth
VoteNet,votenet_8xb16_sunrgbd-3d.py,./configs/votenet/./configs/votenet/votenet_16x8_sunrgbd-3d-10class_20210820_162823-bf11f014.pth
VoteNet,votenet_8xb8_scannet-3d.py,./configs/votenet/./configs/votenet/votenet_8x8_scannet-3d-18class_20210823_234503-cf8134fa.pth
SPVCNN,spvcnn_w16_8xb2-amp-15e_semantickitti,./configs/spvcnn/./configs/spvcnn/spvcnn_w16_8xb2-15e_semantickitti_20230321_011645-a2734d85.pth
SPVCNN,spvcnn_w20_8xb2-amp-15e_semantickitti,./configs/spvcnn/./configs/spvcnn/spvcnn_w20_8xb2-15e_semantickitti_20230321_011649-519e7eff.pth
SPVCNN,spvcnn_w32_8xb2-amp-15e_semantickitti,./configs/spvcnn/./configs/spvcnn/spvcnn_w32_8xb2-15e_semantickitti_20230308_113324-f7c0c5b4.pth
SPVCNN,spvcnn_w32_8xb2-amp-laser-polar-mix-3x_semantickitti,./configs/spvcnn/./configs/spvcnn/spvcnn_w32_8xb2-amp-laser-polar-mix-3x_semantickitti_20230425_125908-d68a68b7.pth
ImVoxelNet,imvoxelnet_kitti-3d-car,./configs/imvoxelnet/./configs/imvoxelnet/imvoxelnet_4x8_kitti-3d-car_20210830_003014-3d0ffdf4.pth
H3DNet,h3dnet_3x8_scannet-3d-18class,./configs/h3dnet/./configs/h3dnet/h3dnet_3x8_scannet-3d-18class_20210824_003149-414bd304.pth
